H,M
0.8610759730192914,-1.8012645958231017e-05
0.776664269033801,-1.7587817578374216e-05
0.7167698248966028,-1.750870604244756e-05
0.6386108903658942,-1.789878164947308e-05
0.5416938476142276,-1.8428790263080215e-05
0.4225632722450197,-1.897526158326083e-05
0.34489806339349965,-1.9283023656339554e-05
0.3044200178786659,-1.941792730973303e-05
0.22346394286135507,-1.969276397038838e-05
0.12588886270743982,-1.9984063337743698e-05
0.06961454537125794,-2.0258899998412383e-05
0.009391162289047017,-2.0484348538941122e-05
-0.0291123074661314,-2.070979707946986e-05
-0.169468944896498,-2.0894088853123515e-05
-0.2153769103298715,-2.101252979989721e-05
-0.2905738206255774,-2.1065119919496986e-05
-0.33269725001679484,-2.1175329512628402e-05
-0.4009832727881681,-2.1532479706560353e-05
-0.4501821144611885,-2.183201042696066e-05
-0.520607207689998,-2.1736436184635506e-05
-0.5809950761102461,-2.1566779761814908e-05
-0.6645837290165278,-2.147943687353114e-05
-0.7287561176764722,-2.1112227967593005e-05
-0.7777904035497695,-2.087672071621689e-05
-0.8487091184868922,-2.0781146474152946e-05
-0.9387150055216702,-2.050448245684515e-05
-1.0109500793444839,-2.041713956823992e-05
-1.0647561611299527,-2.0445035627704625e-05
-1.1554202363982913,-2.0184834316700225e-05
-1.1852028108182882,-1.9858782178307724e-05
-1.25036247971716,-1.928578943337704e-05
-1.281790503651221,-1.8877423756515116e-05
-1.412603497874114,-1.890531981581931e-05
-1.4654223373801207,-1.876858880705474e-05
-1.533050204915724,-1.8467230729149245e-05
-1.5353538307339138,-1.777899903599557e-05
-1.6230561649720514,-1.7140155463725147e-05
-1.6890386081637436,-1.684702873947643e-05
-1.7504138082340304,-1.6734991790766348e-05
-1.757818323657643,-1.6647648902402215e-05
-1.8386098240572237,-1.6346290824590713e-05
-1.8586842934679677,-1.5756835374194193e-05
-1.953955767626378,-1.4953364732078362e-05
-1.9513230494725338,-1.4421528755653605e-05
-2.0051292313155127,-1.4424730754270794e-05
-2.0465945525029707,-1.4518477640638767e-05
-1.9992056144884482,-1.4546373700073378e-05
-2.1576624077106277,-1.4524881638966915e-05
-2.0762126427847907,-1.4157672732944787e-05
-2.1711550984770196,-1.3732844352805593e-05
-2.2292394949882577,-1.3102232133589448e-05
-2.307892042602268,-1.2084746298175078e-05
-2.2298976751964195,-1.1215424827108732e-05
-2.2720212122296646,-1.067535749795911e-05
-2.3664701078414843,-1.0382230773629832e-05
-2.2971966109543502,-9.99032780729194e-06
-2.222493147956261,-9.425566417897713e-06
-2.328460181773966,-8.572707653204098e-06
-2.2065322788823423,-8.328969039385241e-06
-2.22496132367821,-8.381559154385005e-06
-2.2626421427997307,-8.294216263368825e-06
-2.3261565500953756,-8.519664803593968e-06
-2.218873156942092,-8.218306724278544e-06
-2.3115120349637035,-7.019731105450169e-06
-2.2586930610444664,-5.779998718890859e-06
-2.2586930610444664,-5.560954172319572e-06
-2.217227706498642,-5.6629324118186865e-06
-2.2272649543743634,-5.4603505754514984e-06
-2.3011456933518435,-5.842194823750641e-06
-2.3041075051938127,-6.232270425511849e-06
-2.2814002820291215,-5.478187902030665e-06
-2.354622857471984,-4.436008005375391e-06
-2.2336822114276607,-3.797164433644214e-06
-2.2693884909489728,-3.30648522577494e-06
-2.2035704682390858,-2.8322687248734735e-06
-2.1729650936337817,-2.9260156087019738e-06
-2.2382894730056275,-3.546569108431709e-06
-2.2664266795429313,-4.010726895112924e-06
-2.3437628785143128,-3.6846747527916255e-06
-2.221176787581329,-3.6055632094720986e-06
-2.3041075051938127,-3.93801934135987e-06
-2.2542503441473682,-3.373257949137078e-06
-2.050872720905313,-2.43808564960673e-06
-2.0271782505658935,-1.264204093801277e-06
-1.9440830746660789,-1.479420129136481e-07
-1.8440398033701426,5.485210329768873e-07
-1.8053717707407042,1.2532154324169852e-06
-1.7333011509269458,1.834439529119094e-06
-1.6398397280878936,2.3498127975191334e-06
-1.5901472195639084,3.276753744666617e-06
-1.5490110411671458,4.261314166566621e-06
-1.4843449758220952,4.7519933749809254e-06
-1.4223116331158592,5.07804551311151e-06
-1.3818336465435526,5.469948479005813e-06
-1.3035103952935212,5.672530315735132e-06
-1.205606342991939,5.751641850583665e-06
-1.1868482569449748,6.05299992854623e-06
-1.1388012311544584,6.41197748062586e-06
-1.0746288368896413,6.639253377231701e-06
-0.9752439036233396,6.89122333422375e-06
-0.8626954079777852,7.241969532740543e-06
-0.7901312472404655,7.749111447739122e-06
-0.7206934330289062,8.239790655783348e-06
-0.6346366136831069,8.590536854286704e-06
-0.5362389450346358,8.941283052790057e-06
-0.4403094374272305,9.32495466521558e-06
-0.35869530280271184,9.667469510313966e-06
-0.3361526874674721,1.0059372476396453e-05
-0.2397295212735166,1.0443044089023588e-05
-0.12405460952413068,1.0670319985616012e-05
-0.048693130495501,1.0765894227378553e-05
-0.009860573030012976,1.0935550650269536e-05
0.07060181402361022,1.1352147676671007e-05
0.1285215795192887,1.163704304792083e-05
0.19170678891675846,1.1633841048701544e-05
0.2741437597345824,1.162240769606377e-05
0.33403809942153845,1.1676825170599915e-05
0.38290794049122867,1.1780630765697228e-05
0.4622186097238871,1.1835048240394041e-05
0.5393902171830787,1.167545052686212e-05
0.5555156306467169,1.148292739979673e-05
0.640256341345546,1.1504419460960073e-05
0.6502935925724959,1.1649381823149832e-05
0.7519824906094447,1.200012802231154e-05
0.8316223726119533,1.2293254747567251e-05
0.9570058858672026,1.239706034273155e-05
0.9616131555916351,1.2451477817535477e-05
1.1203994852537096,1.225895469053684e-05
1.1679531387375093,1.2263984045702838e-05
1.1827622376462124,1.2359558287847153e-05
1.3497760553352012,1.2241117341066778e-05
1.3586615243612687,1.2493087299779958e-05
1.4465289676657238,1.2777982672026609e-05
1.4476807884186667,1.254430277847981e-05
1.4973736350443037,1.1964906045491098e-05
1.5681283793660077,1.1500748259308902e-05
1.6010375746050478,1.140700137275381e-05
1.6438195398783217,1.1239172306033823e-05
1.7385980947892254,1.080793993222011e-05
1.7904301452314866,1.0162692372777894e-05
1.8116566098702838,9.698534586595705e-06
1.9029798115213379,9.399003866082065e-06
1.888170639241059,8.926614725603451e-06
1.9390154713706635,8.413068818583094e-06
2.011580462117852,7.726664493063879e-06
2.0400470122612036,6.84270768929999e-06
2.092537373952631,6.189228777193409e-06
2.1504578002566217,5.634526103970319e-06
2.158191495729928,5.260913204593959e-06
2.1767852763381663,5.414106920691467e-06
2.1651024580820155,4.908792375960813e-06
2.2202256251502046,4.098917754992445e-06
2.2960817290792908,4.2027233516571825e-06
2.2279593253616516,5.072044824379405e-06
2.3706215090608516,5.249932615126446e-06
