H,M
2.0662099169115984,-2.0164247486835196e-05
2.0374142674564317,-1.9640165449037834e-05
1.9034734506273168,-1.985690521847214e-05
1.8495022531035628,-2.0402899121107685e-05
1.787961951892219,-2.114644550111305e-05
1.6740960155536428,-2.1675976695144095e-05
1.656325039896698,-2.194210458559111e-05
1.57849477504651,-2.238932224893191e-05
1.5220555186974147,-2.283653991227271e-05
1.5271564418371901,-2.3242600809188118e-05
1.447187150952044,-2.3632198999516755e-05
1.3866343005117254,-2.4095879369351322e-05
1.325916928013429,-2.4501940266027434e-05
1.2849450556067128,-2.479276221668912e-05
1.2102413468067732,-2.519882311350482e-05
1.1468913113708141,-2.5473182356933988e-05
1.0476703928606061,-2.545944423375413e-05
0.985472232725664,-2.552801964404081e-05
0.9165277351405298,-2.575299076813585e-05
0.8039787738089567,-2.5961499185564254e-05
0.7240098117799117,-2.6178238956317646e-05
0.6501290474669275,-2.6337359253632802e-05
0.5764128516950917,-2.649647955094796e-05
0.4732431236744802,-2.6737913381696315e-05
0.40265333319134106,-2.7012272625711348e-05
0.3147863460858256,-2.719608698293152e-05
0.239424793413122,-2.721527427328513e-05
0.17739138890045214,-2.7234461563638744e-05
0.11091528620456183,-2.7368887800938925e-05
0.018112034139995105,-2.752800809831408e-05
-0.04079498349714178,-2.7497807268217142e-05
-0.10924558621920562,-2.737706155103173e-05
-0.15465992294031256,-2.7264547187251417e-05
-0.24055224459822722,-2.7020331168801968e-05
-0.33236816073488135,-2.666910755582505e-05
-0.3667579898689907,-2.631788394284813e-05
-0.45281482831867226,-2.583495867428995e-05
-0.5117217989972194,-2.49486970829564e-05
-0.5686542312996834,-2.2638411285097467e-05
-0.6155494410137249,-1.966961718765585e-05
-0.6968344681301957,-1.795198887248181e-05
-0.7257943151551499,-1.7115115403093665e-05
-0.8274828673965409,-1.650048847890705e-05
-0.9092615249382084,-1.5910555615257906e-05
-0.9744211806873815,-1.5238309216635243e-05
-1.074464292293082,-1.4845928835324695e-05
-1.1455475599849896,-1.4247764615105978e-05
-1.2003409152914786,-1.3657831748278983e-05
-1.279322334186347,-1.3709944451899026e-05
-1.3123958056970872,-1.3646818207730462e-05
-1.3609364756587488,-1.3451990309748499e-05
-1.468219596933613,-1.3240699704886008e-05
-1.483522252397507,-1.2733080375810547e-05
-1.54522651293595,-1.2348931348012491e-05
-1.5649718779527075,-1.1931856906144268e-05
-1.6087407734178802,-1.128430456794803e-05
-1.6786722884580287,-1.0776685239178284e-05
-1.6692932375248926,-1.0244371849931625e-05
-1.8050426811197846,-9.613282218837761e-06
-1.8669115353774324,-8.908110406131452e-06
-1.8474952447964295,-8.2194013004333e-06
-1.9299322153074256,-7.456610012849779e-06
-1.9748529687820813,-7.023072862610453e-06
-1.9783084116325138,-6.68831195482427e-06
-2.088882604595864,-6.246543452989088e-06
-2.043632743647061,-6.1422604425503435e-06
-2.089211694520854,-5.651103818128443e-06
-2.196495031844365,-4.970626065080996e-06
-2.143182447671303,-4.775798166697362e-06
-2.1953432166362075,-4.473962673088478e-06
-2.327637456171812,-3.818178981473969e-06
-2.27695756470948,-2.964842804871961e-06
-2.291766622766593,-2.292596404768231e-06
-2.2073550040672645,-1.850827903627938e-06
-2.267907585241359,-1.7630075973283144e-06
-2.3100311289908344,-2.0373668412235096e-06
-2.282881187820868,-2.0071660108593117e-06
-2.3338901708223565,-1.25260607359758e-06
-2.2838684583538544,-4.89814782914015e-07
-2.1986341172449597,-2.455987645851363e-07
-2.1700032833839273,-2.8124876072404864e-07
-2.2420740093669487,-2.0165980860529145e-07
-2.314802937159535,-7.26827365665399e-08
-2.2162404362378245,-5.89446127854613e-08
-2.2820584623798634,3.910552421794969e-07
-2.281564827116635,1.3267049549830812e-06
-2.319903835655683,2.1306530120978984e-06
-2.2104813597947524,2.4489512113740895e-06
-2.2190377019870393,2.5450028686217086e-06
-2.183166884757568,2.295337685027843e-06
-2.258199425829626,2.1115233284474756e-06
-2.281893917292006,2.2487317524531255e-06
-2.218379521807907,2.3612461163036642e-06
-2.2907793522005035,2.30913341255346e-06
-2.2786030155588923,2.7015137962125222e-06
-2.228910404884839,3.5630813260672553e-06
-2.2400994686493534,4.0460065956598855e-06
-2.218708611897254,4.306685320959723e-06
-2.194849581548612,4.674371640830587e-06
-2.2137722606029966,4.7786546521119396e-06
-2.0433036537760985,4.520758114816811e-06
-2.098590757550501,4.328712404348268e-06
-1.9954210815782234,4.432995414960885e-06
-1.892251441750815,4.95707745162922e-06
-1.8372934654489799,5.777488213719258e-06
-1.7290229867212232,6.326264310895036e-06
-1.6153225625798866,6.496398148581341e-06
-1.6061080577806652,6.7241514603377735e-06
-1.546542870578187,7.141225900950857e-06
-1.502609436183584,7.698233350704709e-06
-1.4805604480796601,8.172927265955272e-06
-1.429880687823972,8.474762758290601e-06
-1.3481019930902103,8.727210130084858e-06
-1.2745505399102146,9.086665096842449e-06
-1.1954045768495514,9.51197089101493e-06
-1.1328776253859567,9.715030142435481e-06
-1.1104995594248346,9.72876826561534e-06
-0.982648410060164,9.75073774218692e-06
-0.8906679870259355,9.838558045772003e-06
-0.822217440770351,9.909915642576984e-06
-0.7328697322852122,1.015413166131111e-05
-0.6426992986270844,1.030780279299349e-05
-0.5635533487446596,1.0412085803973913e-05
-0.46268750521718205,1.0903242426098314e-05
-0.3455317318905652,1.130385416058247e-05
-0.335659053546997,1.1317592283922652e-05
-0.278397516309288,1.1306636347067606e-05
-0.18839158345194734,1.1262754996839287e-05
-0.08077935123570763,1.131764988757261e-05
-0.01792326533601689,1.1454858311839174e-05
0.03818649458761477,1.1279275308043993e-05
0.09725806861028208,1.1111923657620484e-05
0.15682328647668176,1.1076273660530191e-05
0.20026312025093956,1.0834839830148145e-05
0.31182453799029697,1.0412316226652612e-05
0.36118801010770263,9.915710443681033e-06
0.42141145754991277,9.155701357231426e-06
0.4607377048997176,8.239296559436483e-06
0.5739446758882506,6.326898050750701e-06
0.6228145615474828,3.5995955916273584e-06
0.6312063611003204,1.8929809029519777e-06
0.7473752256151956,1.0341955775296325e-06
0.7927896991385128,4.7173896911682393e-07
0.876049592734185,1.47991605201776e-07
0.9525631615945286,-1.0167357878832837e-07
1.034013123109142,-3.7603282268352693e-07
1.1620294995313123,-2.3882439539979513e-07
1.1684467753472194,-1.6746679438341382e-07
1.2500613812205286,-7.463861100066136e-07
1.3777488298968108,-1.0125139989622008e-06
1.3558642470211848,-1.007007229070528e-06
1.4123034407097077,-1.3883740651433226e-06
1.494576355157896,-2.1813085647262146e-06
1.5523319683405337,-2.7931532922197705e-06
1.6016957585875828,-3.1992141889955915e-06
1.672450554748299,-3.761670798124963e-06
1.7382690024700105,-4.398209586551176e-06
1.7698618688187102,-4.968897548869411e-06
1.8458822345748904,-5.588973630569744e-06
1.857235929393489,-6.0773480594162e-06
1.902486172417296,-6.483408955892898e-06
1.9436227710979976,-7.333962927349286e-06
1.9551410211661144,-8.061046599629091e-06
1.9704438407768528,-8.409488023462542e-06
2.012732287715735,-9.004870044903092e-06
2.1340031307602554,-9.534401239810276e-06
2.1461795859622996,-9.512431762604012e-06
2.1394331714353827,-9.284678451105413e-06
2.2835761639093866,-9.147470027099763e-06
2.1591787760405037,-8.960873482553037e-06
2.3000308552175683,-8.774276938006311e-06
2.2717287876865115,-9.08979294669658e-06
2.34018031238053,-1.0104973981532084e-05
2.313359156983522,-1.0683893290491903e-05
2.223845654970275,-1.0941789825722788e-05
2.299043573669695,-1.1594791320636214e-05
2.2857152736405144,-1.195146409686682e-05
2.258235944085807,-1.2102353040886988e-05
2.3747351849477547,-1.2467257171054493e-05
2.239313056423434,-1.2848624007875312e-05
2.2801206790466266,-1.3460468734961076e-05
2.252805897732766,-1.4286328647329767e-05
2.232237542728347,-1.4782934429952748e-05
2.294271712979981,-1.4991442847247897e-05
2.275677912953201,-1.5257570737631662e-05
2.2597168658644,-1.5795333286862684e-05
2.3245483498432837,-1.6020304408792765e-05
2.302992699914442,-1.6335820416202085e-05
2.3457749100460443,-1.7062904090114155e-05
2.1001065189400276,-1.7617129345945187e-05
2.1978472615652587,-1.7735092875017985e-05
2.283082523208089,-1.7811899637665392e-05
2.2421103526586603,-1.7864012340027187e-05
2.1410786383568876,-1.7619796321668167e-05
2.307270920173296,-1.7548438724676016e-05
2.2324020895533976,-1.7559394661651273e-05
2.3561413711908226,-1.7850216611054933e-05
2.1665833786401323,-1.840444186691251e-05
2.2251620294791525,-1.8950435769518197e-05
2.1968599809206806,-1.9455272905715105e-05
2.0663744634999177,-2.0083580340342494e-05
1.9919994286278069,-2.085182078042124e-05
1.9242062948320866,-2.0978015660488285e-05
1.8960688642408499,-2.0923120768612087e-05
1.8187320988510856,-2.1353875725276407e-05
1.7394208255908035,-2.1685854442020795e-05
1.6749187459637083,-2.1993139098949804e-05
1.6072903225629083,-2.2448588115578992e-05
1.543940125687139,-2.2714716005962754e-05
1.485197240630301,-2.2914993069946227e-05
1.4131261696330064,-2.319758366729624e-05
