H,M
1.7996447341086488,-5.533724840188851e-06
1.90051161602049,-5.481653302876745e-06
1.8937652152315503,-5.7341418390837535e-06
1.927990862002238,-6.373503980629665e-06
1.933091800543817,-7.004634768897142e-06
1.964849261343687,-7.199503831465343e-06
1.993315800528226,-7.435529660392518e-06
2.0773990854375457,-7.951421503106892e-06
2.0620962522777027,-8.179215979561928e-06
2.1929108584281507,-8.341159629590068e-06
2.1832025995498547,-8.503103279618208e-06
2.2202256251502046,-8.722666402781521e-06
2.3127009692039278,-9.650125904341712e-06
2.3199410349974365,-1.0569354052606855e-05
2.195708153512851,-1.1208716193734977e-05
2.2376675880824064,-1.17081453283381e-05
2.277487928747504,-1.2067641457940707e-05
2.290322587048437,-1.215550292506362e-05
2.328991117914804,-1.2251595745448367e-05
2.254615913154381,-1.2940346006562037e-05
2.274855178511029,-1.362909626767571e-05
2.2595523189991384,-1.4235532996386486e-05
2.2852216329296517,-1.475142483903445e-05
2.252312257168333,-1.5012144729122761e-05
2.2727160689899866,-1.5412797624775277e-05
2.3577868413053036,-1.6060391119728922e-05
2.187316268465079,-1.6436349955945017e-05
2.142230465215862,-1.6408972478417065e-05
2.2921326030828144,-1.6850782136440733e-05
2.2628432563506085,-1.7621845928732403e-05
2.1993281825482223,-1.753684897432848e-05
2.2503376949324463,-1.7377769840179326e-05
2.250831335488142,-1.7745497323642537e-05
2.1983409018907665,-1.8137918867050766e-05
2.2006445567715223,-1.822578033632304e-05
2.198176355115359,-1.833833586551038e-05
2.1583560424477692,-1.8557898988833647e-05
2.2146310338387236,-1.877746211215691e-05
2.2577423034973205,-1.879947275355661e-05
2.2914744154305087,-1.850046061371973e-05
2.1993281825482223,-1.835784418889792e-05
2.173000701279637,-1.7935361745508125e-05
2.1366358777224836,-1.7982066439941055e-05
2.054527109723099,-1.8374487980276505e-05
1.9938094399945512,-1.8832760346110785e-05
1.8448949568120492,-1.9933078267287312e-05
1.8057329449728963,-2.0671216645597284e-05
1.7048661362595772,-2.1014250069165376e-05
1.641844987346838,-2.1167962365491668e-05
1.570267476825905,-2.144514496099457e-05
1.5426237582562543,-2.1952805450297668e-05
1.5023100114436685,-2.238638376018447e-05
1.46429991740574,-2.276234259686623e-05
1.3859761174857854,-2.2825510006373768e-05
1.3830142939035899,-2.2938065535781323e-05
1.324106925397226,-2.326463625272273e-05
1.2082667998920773,-2.3443042609604263e-05
1.1332340340522864,-2.3530904079727603e-05
1.0825540262632183,-2.3783392616517543e-05
1.0229885807945034,-2.415935145333235e-05
0.9234386383287947,-2.4527078936845457e-05
0.8365587299277647,-2.4960657246732263e-05
0.7695888255964601,-2.5427160969805907e-05
0.661811750252568,-2.5844276573119233e-05
0.5774001220247992,-2.621200405663234e-05
0.5092784784768842,-2.6472723946920494e-05
0.42058873277064823,-2.6700518423941974e-05
0.374022514225924,-2.6887156134188503e-05
0.2650937918422616,-2.706556249111004e-05
0.18940316128707568,-2.735097644147309e-05
0.12621795230786712,-2.7488226031416164e-05
0.04756554612728155,-2.7534930734637708e-05
-0.030428665344566216,-2.7696874384945952e-05
-0.10068926143440894,-2.7990519688534117e-05
-0.16338079147707196,-2.8144231984860406e-05
-0.22705958192554127,-2.807569774078157e-05
-0.30669919625568665,-2.7933081315996578e-05
-0.3631380079317616,-2.767522594337612e-05
-0.4408030712815202,-2.740090786389524e-05
-0.47766106498282057,-2.6937268654400223e-05
-0.5694769542905765,-2.5403553469987618e-05
-0.5974495356879784,-2.3285412177303425e-05
-0.7019353502979409,-2.2056257083186306e-05
-0.7154280063093788,-2.1567923813567055e-05
-0.7978648426109551,-2.1384150621425072e-05
-0.8937943341036463,-2.1118063894578427e-05
-0.9782057061951939,-2.0835514460958365e-05
-1.0588325557064855,-2.068466668270468e-05
-1.1024368739971353,-2.038565454288791e-05
-1.1947463983926012,-2.0234806764333e-05
-1.2809677804953723,-2.0042802218484515e-05
-1.263196960543862,-1.9826103612500964e-05
-1.4134262211934352,-1.9518860118175974e-05
-1.4757886522692207,-1.9269236097452726e-05
-1.495698559214045,-1.915954508581314e-05
-1.494875835771486,-1.8819376178783308e-05
-1.5731991136216839,-1.821580395972974e-05
-1.6409915412671334,-1.734059707487405e-05
-1.6956203985925533,-1.6341919886319012e-05
-1.7494265395220214,-1.540086217263453e-05
-1.7978027095372364,-1.4624431530380329e-05
-1.845191617174978,-1.3913851716347336e-05
-1.9190722539097715,-1.3129189720337892e-05
-1.9524748636620506,-1.2402147198845228e-05
-1.9542848573972036,-1.1568097080681342e-05
-2.047252732252949,-1.086574861793752e-05
-2.017634645012389,-1.0426803469050507e-05
-2.061074507358672,-9.526902522421798e-06
-2.124588863795926,-8.808091352069678e-06
-2.1216270540959514,-8.583161393180113e-06
-2.2106459048341294,-8.63809744898538e-06
-2.1133998051023246,-9.07167575873923e-06
-2.338332889230729,-9.060760984523073e-06
-2.301474783554649,-8.498345533725102e-06
-2.2799193762466476,-8.16640797953684e-06
-2.235821297149476,-7.669843354795403e-06
-2.2545794342850827,-6.564158568997093e-06
-2.342940152856939,-5.713645741982516e-06
-2.2305558554063483,-5.521641196385173e-06
-2.2993356972447065,-5.642428079738306e-06
-2.260503056840895,-5.516274360083867e-06
-2.299500242344776,-5.17610545272195e-06
-2.287982085619098,-4.885324666202971e-06
-2.212126810193424,-4.347603275670102e-06
-2.2493139921355163,-3.966277600343261e-06
-2.2669203147747203,-3.897743356257736e-06
-2.3513319547023976,-3.820977758770457e-06
-2.2789321057301453,-4.2298620055004305e-06
-2.250959442794922,-4.465887830019793e-06
-2.2990066070449164,-4.0434053883927435e-06
-2.280906646767267,-3.3492882802967687e-06
-2.2516176230618212,-2.8197982407382088e-06
-2.2677430401633023,-2.422009858107721e-06
-2.20867136436879,-2.0406841822573424e-06
-2.20702591399297,-2.4413370767393904e-06
-2.328624726894751,-2.948997564966491e-06
-2.1815214345486424,-3.1191725686397294e-06
-2.3067402268627397,-3.0012502032503866e-06
-2.1726360036043264,-2.80101430419433e-06
-2.218873156942092,-2.1398226060746535e-06
-2.2560603399103605,-1.1740708304777297e-06
-2.2320367608851512,-8.750586894070305e-07
-2.0897053294090844,-7.571363246868107e-07
-1.9743593340924164,-7.297588469082033e-07
-1.8983396013686555,-1.0563295636832085e-06
-1.8468370654744106,-1.1359596787559374e-06
-1.7528819800254996,-7.875594182372004e-07
-1.6860768025062214,-4.0623374393058314e-07
-1.6327643043411166,-4.035503254152104e-07
-1.5835654307736473,-2.280084836317728e-07
-1.5496692199930235,2.1093666577912323e-07
-1.4917494867017187,5.264115127044553e-07
-1.4037180860984175,8.418863596297873e-07
-1.381340012577639,9.59808724149267e-07
-1.36570827052463,1.1024251489342595e-06
-1.3002195025792638,1.3355864612490094e-06
-1.2176181000481663,1.5934418338594135e-06
-1.1557493256136495,1.8924539736627701e-06
-1.0731479355213058,2.4301753645486656e-06
-0.9976219675976845,2.910277281387892e-06
-0.9276905183473113,3.225752128212621e-06
-0.8459118605903491,3.4836075011547834e-06
-0.7307306526892678,3.6756120464675002e-06
-0.6265739287024558,3.999318246610096e-06
-0.5763878273940938,4.438263395245239e-06
-0.4839137602012582,4.9265966646628754e-06
-0.4110204949011648,5.209146097947728e-06
-0.3220018482740312,5.401150643223611e-06
-0.21570599967390597,5.551998421524153e-06
-0.1618998892831457,5.612301312221297e-06
-0.1151691955957292,5.639678789398334e-06
-0.04013680457417711,5.741138447311652e-06
0.04707191183015014,5.834366751853292e-06
0.11831980198041855,5.771199341824952e-06
0.16175963094680507,5.699800578428276e-06
0.2328429992759103,5.669558581906681e-06
0.30952090949168176,5.515846285260238e-06
0.3680988968693355,5.238663688238826e-06
0.4377014086884161,4.994406504510724e-06
0.4842676380854812,4.618447667875527e-06
0.5609456170481394,3.625137340814168e-06
0.6187009344244373,1.6687587025412705e-06
0.6361427139180862,1.4041042898448997e-07
0.7170989152043585,-3.6725006031860844e-07
0.7886760688936817,-8.749105496217069e-07
0.865683240506008,-1.1932499120665155e-06
0.9426904413544727,-1.4539698016552232e-06
1.0057113143037726,-1.846391344897177e-06
1.1681176842739218,-2.098879881953592e-06
1.2164940788560168,-2.36783112565667e-06
1.246935014537704,-2.6779391359847122e-06
1.3145632755780325,-2.913964966297868e-06
1.3619524389427795,-3.2652297427184984e-06
1.4366562187146152,-3.5012555719122093e-06
1.4694008385529385,-3.523266214958583e-06
1.504942745590888,-3.759292045191778e-06
1.6156821689420302,-4.234027121367778e-06
1.6099230586280313,-4.8816206163214255e-06
1.75867272779517,-5.6938411758160396e-06
1.7328389793196721,-6.193270309781476e-06
1.782861019138001,-6.840863800703515e-06
1.7978347255280283,-8.015263900284065e-06
1.8817533317919217,-9.288440237242792e-06
1.8728678297060728,-1.0396989510454243e-05
1.980810268047804,-1.1242135482936424e-05
1.9967712768345425,-1.1642788376673627e-05
2.0010494857307664,-1.183765743936183e-05
2.0892464415013863,-1.2073683269008641e-05
2.0775636320414046,-1.2054537145270114e-05
2.1980118083401896,-1.2200018088531519e-05
2.15490056142251,-1.22467227909116e-05
2.3005244959948326,-1.2268733433326694e-05
2.228452965818727,-1.2768162568886355e-05
2.3594323114448894,-1.3193509524371145e-05
2.323561068074216,-1.3166132046976874e-05
2.3230674271930347,-1.277657501865103e-05
2.30957457730492,-1.2839742423204247e-05
2.3632168928612782,-1.3191007198343927e-05
2.2727160689899866,-1.3871526100187171e-05
2.2649823656813015,-1.479075424884228e-05
2.261691428266517,-1.5067936845517355e-05
2.2811079604249596,-1.4941783126977113e-05
2.27946249146597,-1.492263700183506e-05
2.3266874603736154,-1.562784996769984e-05
2.2579068503599062,-1.6390682406699786e-05
2.2236811081577477,-1.699711913504569e-05
2.210846457520508,-1.7776414281820777e-05
2.219567437922687,-1.7510327542265395e-05
2.2613623345303964,-1.6692740129257875e-05
2.2631723500911116,-1.6541892350776594e-05
2.321421957605236,-1.6860231713344554e-05
2.273867897188492,-1.728557866952743e-05
2.314181891713584,-1.77932391581132e-05
2.1832025995498547,-1.8481989419226872e-05
2.204758226317815,-1.8792097428536304e-05
2.207226428117275,-1.9135130850859928e-05
2.2709060532736665,-1.9387619385837788e-05
2.155723294990546,-1.914622672001074e-05
2.2997017613672917,-1.8723744278276248e-05
2.189784469885485,-1.81942542414475e-05
2.330307493674516,-1.874307148284968e-05
2.1822153190322764,-1.9769307221074034e-05
2.1655960982659312,-2.0169960117800588e-05
1.9813039074635461,-2.044714271470212e-05
1.8722096443910945,-2.084779561078026e-05
1.8419331235690113,-2.1528314518721578e-05
1.7797346410960737,-2.2126519893961525e-05
1.7310289716517528,-2.255186685056324e-05
1.6453004542953416,-2.2771429973956484e-05
1.6023539425731819,-2.303214986382497e-05
1.5212327891754194,-2.3292869753693454e-05
1.476476310109766,-2.3405425283861743e-05
1.455743533935567,-2.3690839234064972e-05
1.3971652293071057,-2.403387265761309e-05
1.3642560791909062,-2.4187584954379592e-05
1.290704153509575,-2.4382454017721122e-05
1.1735476870638712,-2.474195014792921e-05
1.1097040286354594,-2.4953281918077417e-05
1.0646185724027346,-2.5123456921633955e-05
0.998800408154443,-2.5351251398675425e-05
0.8994150235256617,-2.5504963695642016e-05
0.8031560477100393,-2.5708064112608535e-05
0.7534633972354589,-2.601817212292992e-05
0.6608244795717942,-2.6213041186398114e-05
0.5736155857825512,-2.6416141603177984e-05
0.47571129850247673,-2.6643936080052853e-05
0.4041342376998806,-2.6879961910236066e-05
0.3317344707516328,-2.7181838567192508e-05
0.2650937918422616,-2.7302625450595683e-05
0.18594771987201383,-2.7349330153863977e-05
0.07339907521913348,-2.7428960270625653e-05
0.02173201873681839,-2.7533284447462308e-05
-0.013809646831800873,-2.762114591755895e-05
-0.09937290376149256,-2.7585537086980157e-05
-0.18658159196710733,-2.7475846075905924e-05
-0.22788230526829123,-2.734146100460635e-05
-0.3076864641384566,-2.729762082054223e-05
-0.3598471152461574,-2.7220855222797464e-05
-0.439322169717825,-2.702061932417676e-05
-0.47107928049922443,-2.660636823532355e-05
-0.5390362032740653,-2.5047958988900554e-05
-0.6298648205358203,-2.3028593940385752e-05
-0.6619510155989097,-2.1947603212972467e-05
-0.7328697322852122,-2.1549814831308695e-05
-0.8236983420089997,-2.1094406975057467e-05
-0.7991811992691938,-2.087770836668236e-05
-0.982648410060164,-2.0817405474661247e-05
-1.0585034665169881,-2.0518393334764013e-05
-1.084666057316909,-1.990658976094271e-05
-1.1820764631853158,-1.913015911798048e-05
-1.2641842283083147,-1.8658288555480254e-05
-1.2819550482824977,-1.835104506212095e-05
-1.3560001361794423,-1.8109652396364262e-05
-1.4211598204515958,-1.8049349505115465e-05
-1.4359688405966724,-1.8178367742030435e-05
-1.5187348161451912,-1.7838198832558614e-05
-1.5894890406805753,-1.7193469846477472e-05
-1.6294734096151582,-1.6688673870108833e-05
-1.7056576292072287,-1.6282654135305216e-05
-1.6564587471225927,-1.606595552974371e-05
-1.8313698517747377,-1.5421226540565502e-05
-1.8522670449195346,-1.4743572137733424e-05
-1.8892896344106904,-1.433755240248333e-05
-1.9212113371856507,-1.376690559815942e-05
-1.956094851143089,-1.320449014734127e-05
-1.9695875321341647,-1.2864321239456072e-05
-2.050872720905313,-1.2351293907242315e-05
-2.097274397807483,-1.1410236193861857e-05
-2.1306770282831966,-1.0567954723136918e-05
-2.1495997025892324,-1.0137240926778497e-05
-2.1640796629868815,-9.805303372590228e-06
-2.2030768331352912,-9.522753938762334e-06
-2.3304347232311926,-9.190816383909973e-06
-2.3274729110517356,-8.941192362724306e-06
-2.321713831923376,-8.510478563410903e-06
-2.31036021920621,-7.906906343011413e-06
-2.323359283088177,-7.410341718975708e-06
-2.328624726894751,-6.419895883679563e-06
-2.2159113461517603,-5.692853360084231e-06
-2.247174906295023,-5.550236935168727e-06
-2.3365228928316792,-5.547553518196935e-06
-2.3019684188597274,-5.125071074313579e-06
-2.2557312497706223,-4.472110734477542e-06
-2.2986775168455895,-4.280106188428139e-06
-2.2029122881009093,-4.0798702889032475e-06
-2.2925893482415045,-3.5009921309692777e-06
-2.2568830652616727,-2.938576679982991e-06
-2.2002795675655227,-2.944124613957482e-06
-2.312334760508276,-2.817970891974263e-06
-2.274324843374152,-2.1897046130898267e-06
-2.24520036553595,-1.8495357054964465e-06
-2.2634648681735974,-1.7233819876120163e-06
-2.2354922070372085,-1.7618553371947211e-06
-2.2177213416305275,-1.964955754244556e-06
-2.242238554427472,-2.2009815846276847e-06
-2.2971966109543502,-2.4534701216840996e-06
-2.263135778023712,-2.4013985833690866e-06
-2.2247967786293104,-2.234088098060795e-06
-2.2906148071065586,-2.066777612752515e-06
-2.1196525143143123,-1.998243367764195e-06
-2.2292394949882577,-1.8144701741423026e-06
-2.140714272744862,-1.6965478071336712e-06
-2.135448832979481,-1.455155137286045e-06
-2.0762126427847907,-3.5770170473272524e-07
-1.8910996277819883,7.479830813702324e-07
-1.8300534931943897,1.499719663097081e-06
-1.7826645876138438,1.9304334588846677e-06
-1.7263902703107867,2.4599234971253684e-06
-1.6251952465091357,3.0634957162832212e-06
-1.607259870870014,3.675299289000801e-06
-1.547201049400663,4.287102861718338e-06
