H,M
2.1767852763381663,-6.040249401054431e-06
2.283905257711478,-5.521180250772954e-06
2.261526881398335,-5.594768553037493e-06
2.21232737867341,-5.306177304223024e-06
2.231579355430558,-4.828264926628956e-06
2.3331047922167993,-4.877159166647254e-06
2.2806143197346906,-5.280001602511787e-06
2.293613525314887,-5.707538098241523e-06
2.3196119410873215,-6.349089779167866e-06
2.1986699954422977,-6.9000965737755006e-06
2.2648178188082473,-7.039535702546313e-06
2.227794778543108,-7.0390418243955804e-06
2.210352817140518,-7.227869073563401e-06
2.2376675880824064,-6.9475091748140965e-06
2.2817661480154148,-6.247350252230451e-06
2.2819306949136413,-5.9669903572436705e-06
2.239477603258866,-5.908877005370923e-06
2.235199385616158,-5.916614480565128e-06
2.2967399167591513,-6.294762855536303e-06
1.9952903584055364,-6.83753829724072e-06
1.9924930680887971,-7.577866216076684e-06
1.9080807490432514,-8.260574661707602e-06
1.8108338786184281,-8.762193336707436e-06
1.7891137754447688,-9.51075261001123e-06
1.6673496263769,-1.0399244888034113e-05
1.6449713622013065,-1.0999639801078107e-05
1.55529379527578,-1.127901193716755e-05
1.5131700401045447,-1.1640697606523592e-05
1.471046297024615,-1.182952485542462e-05
1.473020847214544,-1.1936038571059047e-05
1.3994688700767228,-1.2182485293841858e-05
1.3267396564821285,-1.2354849836399727e-05
1.2747432255362947,-1.2477826258897688e-05
1.2122158937446001,-1.2897131400677176e-05
1.1704213218002237,-1.3406981429141538e-05
1.0741622081802196,-1.3785129805124263e-05
0.9548667963897958,-1.4097427354467072e-05
0.8577850677355512,-1.4294485957189976e-05
0.7834106222964738,-1.4516238619927834e-05
0.7174280055126014,-1.4713297222590716e-05
0.6010946111405385,-1.4753960111318424e-05
0.5058230332788556,-1.482754841347276e-05
0.4460932020799614,-1.4983450249427386e-05
0.401666063523347,-1.5147583438730331e-05
0.30836909524896666,-1.5278791214553244e-05
0.19911130640476604,-1.526183462959566e-05
0.13197702036414286,-1.5351885638252983e-05
0.08146176936841651,-1.556540694763585e-05
-0.006076043935106273,-1.5778928257018723e-05
-0.08620932682901887,-1.608299445312312e-05
-0.13458547026689488,-1.6205970875087077e-05
-0.2206423398113071,-1.6246633763684497e-05
-0.2831693112720404,-1.6320222065882243e-05
-0.335659053546997,-1.6220951946923758e-05
-0.4049323437982379,-1.6064062354129564e-05
-0.4340567419156177,-1.5866015994175934e-05
-0.5074436392304207,-1.5190551130394845e-05
-0.5911968410705872,-1.4012973700495853e-05
-0.6315102664501484,-1.3353971541466545e-05
-0.6665582640775689,-1.3122999767456913e-05
-0.708352589140572,-1.2817945812711e-05
-0.8464054943367674,-1.2702212986898793e-05
-0.8760235191576936,-1.2685256402008066e-05
-1.0019001269139596,-1.2577754929587581e-05
-1.0492889692401115,-1.2511410224075584e-05
-1.1197140571219029,-1.270846882661842e-05
-1.2019863614446298,-1.287260201564115e-05
-1.251514292090692,-1.2575779413317555e-05
