H,M
0.89497230055931,-2.4565980428238986e-06
0.8005233242150932,-1.9085133750310712e-06
0.7360216087228556,-1.673220137587732e-06
0.6781017170977164,-1.9811962269884166e-06
0.5755901264233796,-2.544344269155054e-06
0.4479031967672255,-3.1898058444218516e-06
0.38767974360029833,-3.5718641135543587e-06
0.3409489855391143,-3.6987504289915556e-06
0.24781658113342686,-3.7927113309220067e-06
0.15929145870298783,-3.919597646412666e-06
0.07784178421896461,-4.219342382218259e-06
0.010707520292353966,-4.634326065063835e-06
-0.06712213961031059,-4.892914034354529e-06
-0.14988812688549846,-5.184427416965176e-06
-0.195631549330455,-5.5170975664175135e-06
-0.2282113946050599,-5.693372002124879e-06
-0.3233182054206289,-5.869646437832244e-06
-0.38880697038419876,-5.947144632658285e-06
-0.4248422431849238,-6.049336887549293e-06
-0.52274628754984,-6.1021410218188175e-06
-0.5819823436902802,-5.98208673500229e-06
-0.641712031084843,-5.985502749513401e-06
-0.6685327991367727,-5.980687410602677e-06
-0.7697277189933853,-5.975872071691951e-06
-0.8304446698737096,-5.864049137992339e-06
-0.8872125507842035,-5.274807701636205e-06
-0.9400313622017344,-4.8995814542918345e-06
-1.097994169804115,-4.9441542357448496e-06
-1.0864760478936675,-5.1204286708511116e-06
-1.1927718630245174,-5.0168370877321545e-06
-1.241641614655805,-4.625148136135703e-06
-1.252007925965563,-4.579176030018669e-06
-1.3862763522544714,-4.286263319081294e-06
-1.3708091547309784,-3.606476994950418e-06
-1.476611375681745,-3.0748550340748592e-06
-1.584717243805048,-2.7819423247694483e-06
-1.6222334413067607,-2.414947433972728e-06
-1.6525096732327873,-1.7845492309369308e-06
-1.7278711732894254,-1.1870764419309091e-06
-1.7614383090297443,-6.472231277718313e-07
-1.7810191396172141,-4.975033902529356e-08
-1.9036050368068507,5.97110571008495e-07
-1.9277931319720487,1.2522028345682468e-06
-1.9509939597048966,1.989608633876845e-06
-1.960702107999346,2.7764025544119925e-06
-2.053834529837367,3.4150321108422745e-06
-2.028000975197414,3.6585567008485102e-06
-2.0872371549768687,3.720991513986744e-06
-2.0526827152489666,3.9809788093700045e-06
-2.1785596241994316,3.829398436082583e-06
-2.218708611897254,3.4967282873302375e-06
-2.30855022302742,3.707327462991109e-06
-2.268401220476209,4.04139693992939e-06
-2.301639328656225,4.433085891525844e-06
-2.3406365210321587,5.022327326736303e-06
-2.327966546412319,5.751501772518931e-06
-2.1994568424038907,5.772779827602113e-06
-2.315461117604319,5.094392839533606e-06
-2.3370165282118114,4.885192991374346e-06
-2.3213847416918276,5.581442027219752e-06
-2.2387831081798555,6.5575570815188705e-06
-2.273502117962845,6.8916265593340026e-06
-2.2090004544452584,7.0775316739544075e-06
-2.2609966920604716,7.411601150560093e-06
-2.2960447952676444,7.655125739082975e-06
-2.1996213874360016,8.310218005509109e-06
-2.1148807099024522,9.3027957659493e-06
-2.373710094487334,1.0575239552201598e-05
-2.261983962502672,1.1452578370416645e-05
-2.2394412884137154,1.171256566631683e-05
-2.2549085244232465,1.1371664171425323e-05
-2.2606676019139744,1.1417636294953097e-05
-2.3526483158044673,1.2072728562694396e-05
-2.272350302391797,1.2118700668630627e-05
-2.278438470473437,1.2107053300684299e-05
-2.2634648681735974,1.2408197364872333e-05
-2.2932475286235103,1.2816349023544303e-05
-2.220518607396497,1.3125724439965299e-05
-2.231707670777977,1.3657346400588303e-05
-2.123107958941808,1.3604542271101168e-05
-2.231707670777977,1.3115476409009402e-05
-2.180205074389178,1.279926896618371e-05
-2.153877872622427,1.2952248670127168e-05
-2.0102301236795164,1.344271386354444e-05
-1.999041069578294,1.3661544391714647e-05
-1.958563024450261,1.4069696050595091e-05
-1.812940832107035,1.4362608761686933e-05
-1.7280357180651837,1.4342730040389034e-05
-1.7005567414858516,1.468503087149835e-05
-1.6105507654275917,1.5266040953203068e-05
-1.5009639892776125,1.5682423964826e-05
-1.4705232224591887,1.604941885540426e-05
-1.4407406360588846,1.6416413745982526e-05
-1.3982881123006814,1.661055021385708e-05
-1.330331171482128,1.6821149388679274e-05
-1.2863977533405195,1.7039979916930006e-05
-1.2143272076879583,1.735758668714899e-05
-1.1481802736862947,1.785628323364457e-05
-1.0524153165242516,1.8346748426624298e-05
-0.9838002221747395,1.8705511963969016e-05
-0.9145269516175819,1.905604414780124e-05
-0.8057629825583026,1.9480658512822318e-05
-0.696340834371504,1.9822959342903505e-05
-0.6344720690920367,2.0198185586933745e-05
-0.5939940991921888,2.0458172882612387e-05
-0.4845719386430113,2.0602921229704473e-05
-0.380250649662825,2.06406619824867e-05
-0.30456011583793746,2.0637245968075977e-05
-0.24598221851234808,2.0905464617250293e-05
-0.17259529392205153,2.1305384921737286e-05
-0.10463833443116453,2.157360357069675e-05
0.005606633053051452,2.176774003843714e-05
0.0803099559080153,2.196187650617753e-05
0.14069789502601682,2.2065468086130274e-05
0.18298591297287717,2.2210216433343035e-05
0.2507783886166964,2.24537410217988e-05
0.3142927114012128,2.2730191024122987e-05
0.3761615983015037,2.2891402078377237e-05
0.43260051479301326,2.3011456365304352e-05
0.5028612231460222,2.3164436065898726e-05
0.5518956397784367,2.3243333585515606e-05
0.5772355769695711,2.3330462458557673e-05
0.6716844572932594,2.3401128624752717e-05
0.7220352698792065,2.342240667044687e-05
0.8233951106803612,2.3575386371292674e-05
0.8872386719279483,2.3604895771412937e-05
0.9380831720812105,2.340392727558051e-05
1.0818958444386557,2.3359354494127498e-05
1.1347149435894401,2.3347707126221322e-05
1.2238986302679185,2.3163201337229093e-05
1.2283413612721632,2.2838762541031746e-05
1.3645851706576877,2.2580174571741053e-05
1.363268804794708,2.2403900135983595e-05
1.4294162032256337,2.2161774873319484e-05
1.5220555186974147,2.2001963144522485e-05
1.5794820508648109,2.1726912469152213e-05
1.5906711772835747,2.1237846606421635e-05
1.6712987321962838,2.0699392623930746e-05
1.7200043800189226,2.023502082142475e-05
1.849173160505829,1.9910582025217393e-05
1.7966829018988526,1.9462672929185022e-05
1.849666799402746,1.9055920599894235e-05
1.9485591638530262,1.8789101277128447e-05
1.9270035835989547,1.844819977428779e-05
1.963861982646612,1.815668639162712e-05
2.033958789987884,1.801333736938643e-05
2.016516857614604,1.822393654529555e-05
2.1047138248234982,1.8352222187504574e-05
2.1129411572091095,1.7879619031863244e-05
2.1420659185210207,1.7530486176897345e-05
2.1955436067412575,1.7321286328060443e-05
2.318953753270067,1.710385512582178e-05
2.2424394463379884,1.7042819637454883e-05
2.291968056169369,1.6808925728422747e-05
2.398594508208772,1.645156151886545e-05
2.3107264058889023,1.6160048136054707e-05
2.27074150639183,1.6024930467369455e-05
2.2654760063019252,1.560994678648195e-05
2.266298740674508,1.48327835589261e-05
2.2457303831845157,1.4524807471659349e-05
2.2674505688063644,1.5072892141513395e-05
2.3015117775560174,1.5415192976573934e-05
2.3247128968056643,1.4547484867384336e-05
2.159014229321486,1.4009030894869028e-05
2.333598433143497,1.4450107966884828e-05
2.248856773278456,1.455369954887802e-05
2.250995882340526,1.4295111579497247e-05
2.2587295846764817,1.407768037689142e-05
2.2602105064616436,1.4304742260969754e-05
2.27403244407497,1.409554242146302e-05
2.290487133959424,1.3565319796148059e-05
2.336231184790429,1.3347888594343316e-05
2.2978917452083882,1.2957598971522688e-05
2.27222242833715,1.2279211984768771e-05
2.16608973845197,1.1403272518654032e-05
2.187809908744882,1.1243460793280649e-05
