H,M
-0.16913985552429828,3.9859586928774346e-05
-0.08571569268681122,3.9919247757508616e-05
0.0021511933462041583,3.974843069197557e-05
0.07718360510459982,3.906726972574375e-05
0.1207879739392155,3.789222756628108e-05
0.18742862333128868,3.6783036232000524e-05
0.2581829074455737,3.5747927075946076e-05
0.3063945565573782,3.455642221042814e-05
0.3886670132191223,3.296158104445253e-05
0.4413213979626478,3.0815239228225915e-05
0.5102657485419962,2.7886918892554963e-05
0.5718055902091006,2.2349259853470548e-05
0.6262700083860628,1.546989036910878e-05
0.6781017170977164,1.1142240118081837e-05
0.7582352075435629,8.979435596769033e-06
0.8326096440656867,7.491602020678324e-06
0.9181731882585585,6.1272387400554865e-06
0.9917249568837064,4.8534203440037e-06
1.0358231226564854,3.6783781848570142e-06
1.1503467672475776,2.6268063234959396e-06
1.1705858673389975,1.789249643720185e-06
1.2609213922629117,8.035286066908145e-07
1.3068296287275114,-1.1634160478686035e-07
1.3589906158163163,-6.493382145131586e-07
1.4473516967740723,-1.25641700297025e-06
1.5233718859422385,-1.9211152644926907e-06
1.6122267027253578,-2.3717983422838094e-06
1.58474752201117,-3.0200338979217094e-06
1.6518822963399045,-3.7588143392574785e-06
1.7436990258405813,-4.118952529706231e-06
1.702891582850517,-4.701337256080289e-06
1.860691401929357,-5.826991296758487e-06
1.886689722108544,-6.738630154736764e-06
1.9110425838284553,-7.5761868343406655e-06
1.9515209996005434,-8.586601930913915e-06
1.9821266398275443,-9.50647214244441e-06
1.975215688141867,-1.059096941640352e-05
2.0017076717281714,-1.1774242928571281e-05
2.0356042554366858,-1.2825814790901477e-05
2.1608242432436295,-1.3893849359553566e-05
2.1818862255283147,-1.4780794158301557e-05
2.2333893705087626,-1.5684201663358248e-05
2.213643753047837,-1.611019067642889e-05
2.3582804823445427,-1.610814932117313e-05
2.335408449893908,-1.6254272326697878e-05
2.34923039698385,-1.6737880815687842e-05
2.3365602787507824,-1.7608362908298917e-05
2.201138197109198,-1.8380068762423744e-05
2.322738333273489,-1.9061229731251335e-05
2.2717287876865115,-1.943783062840673e-05
2.380494331454464,-1.9493408747183295e-05
2.3599259524916625,-1.9466673332293147e-05
