H,M
0.7332243408831318,-1.2209879328357081e-05
0.6433826982387765,-1.1815770359711954e-05
0.5573256261006402,-1.1726221466438264e-05
0.49924123302981727,-1.2262255430058434e-05
0.411867850261389,-1.281475210032526e-05
0.30557183210635125,-1.3219084411490423e-05
0.24847476057177625,-1.3532871835934057e-05
0.20849036212509126,-1.372318896030284e-05
0.10992801744579783,-1.3880580671218295e-05
0.00807480428996514,-1.401327832202874e-05
-0.07600755444924497,-1.4145975972839185e-05
-0.1335982020818265,-1.433629309718127e-05
-0.17967071533218693,-1.4312595032772757e-05
-0.2566776215307868,-1.409957584043117e-05
-0.31097735707036966,-1.4166422663693452e-05
-0.35688531181648836,-1.4282657607456622e-05
-0.4251713324270096,-1.411079518215721e-05
-0.5156708695362069,-1.367552944612439e-05
-0.5531870389738427,-1.3083867993737578e-05
-0.5665151515209619,-1.2483975187834905e-05
-0.6571792225208779,-1.2106328925862009e-05
-0.7355024456323218,-1.2000317328138383e-05
-0.8019784571674684,-1.2017776031541538e-05
-0.8727326275063155,-1.1862376312663675e-05
-0.9706366551856518,-1.1748133360660897e-05
-1.0262527262816146,-1.1847905597931192e-05
-1.0879569492764802,-1.1890058361552985e-05
-1.208732690703456,-1.1833434884253298e-05
-1.2406543469188076,-1.1595721631562393e-05
-1.355012868288081,-1.1390933792565532e-05
-1.3311538946944173,-1.1235534074290758e-05
-1.4466642442753466,-1.117891059677689e-05
-1.4769404650471119,-1.1204600653531653e-05
-1.5276202298158337,-1.0621170551222634e-05
-1.6449406150483676,-9.97188962152551e-06
-1.6181198230037268,-9.76710178268957e-06
-1.7212893823170563,-9.628164771241729e-06
-1.7714755413843497,-9.341063397264937e-06
-1.8353189275461503,-8.807021419475674e-06
-1.910845010676086,-8.305904855675816e-06
-1.911174100401329,-7.878870473336991e-06
-1.9662966342759949,-7.591769099853485e-06
-2.019773728988266,-7.3622872006514776e-06
-1.9610311977774664,-6.869401989856174e-06
-2.051530900665292,-6.220121062770763e-06
-2.0419872942960753,-5.75192991277536e-06
-2.060251782630894,-5.349589590839522e-06
-2.106159826197345,-5.408205057815807e-06
-2.193204131263625,-6.034783907907538e-06
-2.3118411251811817,-6.274489150155181e-06
-2.330599268353397,-6.053238604425295e-06
