H,M
-0.8979079486824255,-6.408783501972966e-06
-1.0540607624658254,-5.58192758645254e-06
-1.0617943584152414,-4.9443928017197655e-06
-1.1932654968661502,-5.1135306495650895e-06
-1.2498688458432876,-5.463758273022785e-06
-1.3263821000768705,-5.369492817196352e-06
-1.3772263962102402,-5.382234955288607e-06
-1.4524233078796398,-5.329126265992759e-06
-1.4486387803614977,-5.300711636751873e-06
-1.5200511737159714,-5.428692722208076e-06
-1.6449406150483676,-5.408509446883777e-06
-1.6112089443420616,-5.264855870583232e-06
-1.7117457856068141,-4.8989557510780856e-06
-1.8048781363094402,-4.261420966769558e-06
-1.7375793151808603,-3.862595432472485e-06
-1.8601651969966488,-3.6366283216553343e-06
-1.9055795751185134,-3.4353552710233834e-06
-1.9547784920541071,-3.192925453030717e-06
-1.9332231127751156,-2.645935557312588e-06
-2.0120401177656513,-1.9013931770922362e-06
-2.008749219435605,-1.3379405733701568e-06
-2.092173503863658,-9.308836867055786e-07
-2.163256937942536,-3.591997305643454e-07
-2.191887771043377,-9.762317627713979e-09
-2.2229867830986723,5.783843484425677e-07
-2.325333824501486,1.2488445487479877e-06
-2.211468630032648,1.6229760214500656e-06
-2.337674708720319,2.2687421595101782e-06
-2.3261565500953756,2.848657469806572e-06
-2.2888048110807646,3.0499305203045303e-06
-2.317600204062817,2.9548748485186524e-06
-2.36367284033666,2.99152083150906e-06
-2.2739957532092876,3.5302793742595265e-06
-2.246187635913476,3.953798969033872e-06
-2.297525701151593,4.031601718046759e-06
-2.2167340713677413,4.5127407878563425e-06
-2.306082046442715,5.158506926337375e-06
-2.200608657630932,4.91528689901978e-06
-2.3054238660245523,4.342812735697153e-06
-2.1453215326264026,4.659324738173153e-06
-2.269717581107469,5.6919644933278565e-06
-2.179546894312002,6.164872213623817e-06
-2.294728434489776,6.36614526611493e-06
-2.2407576488867713,6.740276739481629e-06
-2.2934120737193,7.0485573848426e-06
-2.212455900274466,6.830031418781425e-06
-2.3008166031495016,6.315176729352014e-06
-2.33076381347572,6.557606548142329e-06
-2.2858429994322145,6.997588848695575e-06
-2.3057529562334005,7.330563553979883e-06
-2.2781093803028694,7.95986698553342e-06
-2.349686503335608,8.572707710172883e-06
-2.1866223302310694,8.43649527401424e-06
-2.2609966920604716,8.012185469027117e-06
-2.256389430050548,7.843047616805948e-06
-2.1097798156254046,8.1184028496395e-06
-2.1328161131363594,8.681855452355712e-06
-2.006281045712487,9.204151287526288e-06
-1.9605375631104203,9.742909829671393e-06
-1.8779360398570824,1.07508555268422e-05
-1.8432170792262321,1.1758801224013007e-05
-1.7714755413843497,1.2272865705671107e-05
-1.7086194350113846,1.2918631843609992e-05
-1.6059435130538608,1.351500986066563e-05
-1.5440747000019575,1.3922066747088437e-05
-1.4848386098774684,1.4304429573114961e-05
-1.4631187118763722,1.4769105933980535e-05
-1.4051989880518008,1.5274939062190028e-05
-1.3969717550237617,1.564083918137297e-05
-1.328850269702497,1.585034358509513e-05
-1.2684623886352593,1.6068079342262584e-05
-1.1608502084649541,1.6326971866539224e-05
-1.0881214938746726,1.653647627019438e-05
-1.000748314789448,1.6795368794491132e-05
-0.926045072503496,1.7029567258522374e-05
-0.8279765011427354,1.718145218821797e-05
-0.7391224264815456,1.7473270126483712e-05
-0.6754436718298402,1.7987334608225858e-05
-0.5935004654064137,1.833677202116249e-05
-0.486052840135372,1.860389589919285e-05
-0.40591961154774486,1.9085034966932142e-05
-0.3443799194242614,1.940977831927436e-05
-0.26128487200293876,1.9471118361527214e-05
-0.17506346419220092,1.949130163677129e-05
-0.09394292832177635,1.949502220524863e-05
-0.0468831384875987,1.9548130894146538e-05
0.010707520292353966,1.9601239583044448e-05
0.09084082196284993,1.963788556512212e-05
0.1752523061911176,1.976507643458234e-05
0.25225929236865824,1.9933424071118265e-05
0.29931912635143104,1.999476411351827e-05
0.3677698070197799,1.9916171148202016e-05
0.45958589004216355,1.9870503596405867e-05
0.5023675881271895,1.9651977624644743e-05
0.5168475490732534,1.875024933323669e-05
0.6047146027379333,1.7445184734268233e-05
0.6869871540482705,1.653522508845428e-05
0.7868660716111964,1.636608723816756e-05
0.8026624120522317,1.6287494274053275e-05
0.9236031836457648,1.5731482816407947e-05
0.97494132934667,1.5307173012095838e-05
1.0554040279902677,1.5088647039828057e-05
1.1516631314091859,1.4886583774286933e-05
1.1691049574957022,1.472567727540408e-05
1.258124116622972,1.4293136117234922e-05
1.2877423317054486,1.395113984600737e-05
1.3349669414028773,1.3765539287259612e-05
1.4225052796710902,1.3398848955031927e-05
1.4723626638150007,1.30403899761259e-05
1.526169166376874,1.2681930997219871e-05
1.5673056495822382,1.2158844952512395e-05
1.6327949552691456,1.156167672820928e-05
1.7287253255642354,1.0882194971503276e-05
1.7463317645239091,1.0400265694317827e-05
1.8034292975854767,1.0412217616537842e-05
1.9054480070706081,1.0341856005391317e-05
1.922231738093216,1.0189180860177031e-05
1.9750511416779137,9.987117595102663e-06
2.0079604388815824,9.768591623254874e-06
2.000226753239026,9.492446178388273e-06
1.9878857665306346,9.084599079815056e-06
2.0663744634999177,8.857841754135619e-06
2.1343322241272653,9.04265209913288e-06
2.141243185050325,8.898208312791731e-06
2.168228845949347,8.984242425697234e-06
2.182379865784613,9.679396685772497e-06
2.3419903292407076,9.436176658198313e-06
2.358445029358125,8.336895888427282e-06
2.315004626449836,7.509249776407354e-06
2.380823425549911,6.862693433783502e-06
2.280285225942403,6.668861528812754e-06
2.382962537194977,6.911291347603071e-06
2.342154876229495,7.030250864210381e-06
2.290487133959424,6.4083885912583155e-06
2.212162831877685,5.572511129642659e-06
2.216605595446395,5.222283504820434e-06
2.3609132345919916,5.053145654873902e-06
2.246882211103684,5.040403517533466e-06
2.365191457131324,5.035892733634969e-06
2.305625450823215,4.619814287553083e-06
2.2241747485960515,3.8086308800283524e-06
2.279791585255808,3.2773134818863285e-06
2.235363932445551,2.770690143609507e-06
2.2964108229187286,2.2722981586078094e-06
2.2816016011174334,2.3665636193857682e-06
2.307270920173296,3.0287924642014883e-06
2.2266429508200454,3.4029239373735017e-06
2.284727992220997,3.571271573909424e-06
2.284069804612891,3.1222677135546573e-06
2.157204215427824,2.5415621988519684e-06
2.1753043556481813,1.9937820968458722e-06
2.2141373934422015,1.4130765813864424e-06
2.2659696469247432,1.0381548964792313e-06
2.2537931788681855,9.842559950252481e-07
2.2493504138276035,1.5970967188568624e-06
2.2343766514728127,1.864220599180289e-06
2.0471225142108715,2.081956358358034e-06
2.0765763524216863,2.291460764190799e-06
1.944939142480104,2.056472085149712e-06
