H,M
1.3884443038474619,-0.0001896606510215727
1.473020847214544,-0.00019691182398856566
1.459198996432145,-0.00020328224229459183
1.5799756887765226,-0.00020882129403160235
1.5789884129548069,-0.00021352897918703462
1.6370731521780864,-0.00021789917889448781
1.7874683132299327,-0.00022150386281025744
1.7535717961710078,-0.0002246722850415033
1.8314021614786709,-0.00022815349867483229
1.8676023472815297,-0.0002311737565562842
1.9113716765866826,-0.0002337742154496656
1.9256872124067346,-0.0002364158311070172
2.0286933007032126,-0.00023890105106079141
2.0589698672511516,-0.00024119694989963437
2.0074667993577475,-0.00024350931144417198
2.099283785765595,-0.000245665277283779
2.1986699954422977,-0.00024768131012456836
2.097473772802141,-0.0002494586337292524
2.2203901719576846,-0.0002510713302753025
2.226478404003428,-0.00025264287005622945
2.260375053327878,-0.00025439549960158214
2.2773233818558896,-0.00025551431495365634
2.3827979901438385,-0.0002560980923608211
2.3191183002240088,-0.0002576120126683301
2.290651680870657,-0.00025943872439146106
2.234870291958096,-0.00026083740575858156
2.338041201584719,-0.0002619397584162836
2.328991117914804,-0.0002625893866493123
2.27946249146597,-0.0002630661564665491
2.358115935331212,-0.0002634770754575451
2.3176373776474612,-0.00026395384527377587
2.290816227782136,-0.0002649574216940044
2.2690960375868943,-0.00026606800570479
2.2399712437666124,-0.0002667505593508595
2.23717394758481,-0.00026696392586496233
2.2672860219296527,-0.00026706205343319026
2.3001954021430766,-0.00026732480806648936
2.252147710314008,-0.0002675957940530868
2.358938670400377,-0.00026800671304395363
2.2503376949324463,-0.00026888681916735225
2.2435912742232587,-0.0002697175371717059
2.220883812381566,-0.0002702272324023307
2.1907717504686275,-0.00027016896425535893
2.308258201795203,-0.00027001191986930476
2.290816227782136,-0.00027000303984415136
2.205087319887969,-0.00026981307004610416
2.2551095537290125,-0.0002696724883681169
2.216605595446395,-0.0002691861898464808
2.2320729959035384,-0.0002690456081619136
2.174646168681008,-0.00026942360174061054
2.150622346963417,-0.0002694805725422236
2.0270478353490473,-0.000269134207029112
1.917624439157179,-0.0002687549161026805
1.9298008724285656,-0.0002689929766751353
1.8269594121044637,-0.0002691981118342169
1.7218143875384835,-0.0002689669852693614
1.644148631969629,-0.00026853007486971243
1.5768493153645116,-0.00026787914928131284
1.5009936443876917,-0.0002670635966235709
1.4860199699510934,-0.00026602579742126376
1.471046297024615,-0.00026485629656251413
1.4318843902854015,-0.00026385142277404825
1.3894315784031341,-0.00026279716086419387
1.31966419178988,-0.0002616276600052823
1.23525227640257,-0.0002606474802777008
1.1371831261792105,-0.0002595273675396618
1.068732208452044,-0.0002580368438908267
0.9866240503181963,-0.00025618414068096944
0.9124141024055812,-0.000254068034152592
0.8209269321644064,-0.0002518284573178149
0.7243389020984079,-0.0002494407161148356
0.6632926562816551,-0.0002468142656506341
0.5992846153622934,-0.0002439326432163697
0.4984185080104734,-0.0002406559157916535
0.38932519296692275,-0.0002369676206663026
0.31922905828386516,-0.00023314762387569544
0.26443561236937707,-0.00022901483562679566
0.17508776136787657,-0.0002246351067531379
0.10071350915864868,-0.00021984381016348974
-0.01891053377108165,-0.00021435284845320413
-0.06070489545129758,-0.00020854909527286017
-0.1340918361746069,-0.00020225969217017905
-0.1635453361650238,-0.00019522946714416162
-0.21850325909041263,-0.00018756542779389416
-0.30275012470977863,-0.00017902063345215984
-0.3486580800040036,-0.00016911766548537494
-0.43455037577341993,-0.0001575190382565816
-0.4876982862354321,-0.00014337692196224973
-0.5559842971743141,-0.00012451000665698072
-0.5994240708248175,-9.679438037670151e-05
-0.652242884841999,-5.7044503399564266e-05
-0.7628168465076938,-7.886177124053541e-06
-0.8194201828750085,4.248215988482198e-05
-0.8791498662278886,8.547519400917388e-05
-0.9615867029226315,0.0001175945980787214
-1.060807090844998,0.0001406348119942195
-1.1384721419442716,0.00015805300831451904
-1.1968854783793819,0.00017180825086304463
-1.2434516055100122,0.00018285537725856773
-1.3742645924424561,0.00019213276221744963
-1.3643919133167068,0.00020020013796301635
-1.4469933336225507,0.00020713158673655216
-1.4743077501298891,0.00021315758649029565
-1.5697436746229407,0.00021871439903641874
-1.6732423115756305,0.00022355508375195517
-1.638029735955415,0.00022773726012527263
-1.659256007817262,0.00023144201795961082
-1.811295383970002,0.0002349409919415948
-1.821003528090861,0.00023848112269371993
-1.8379516447524658,0.00024200479073775051
-1.9361849205258015,0.00024530621222404664
-1.9325649332787955,0.0002481219838277709
-2.0130273872719338,0.0002505261877386157
-2.0115464830137686,0.00025274107051203774
-1.9931174528740836,0.00025510411765390824
-2.048733636696018,0.0002571708360625658
-2.1023752918473755,0.00025901530791896585
-2.137587917871426,0.00026095855601928047
-2.1226143239922712,0.0002626137067407371
-2.310853854530149,0.00026422770069383663
-2.2935766188152056,0.00026617094879454275
-2.35593921859328,0.0002679084130547347
-2.4158336578643493,0.00026936601128911455
-2.324675644028497,0.000271004699303035
-2.2776157450478745,0.00027260223054878497
-2.18612869516054,0.0002731626112610074
-2.366634652989917,0.00027348428271950866
-2.2927538933368328,0.00027410228289645347
-2.3304347232311926,0.0002744980365293777
-2.340471975902711,0.0002751489621177572
-2.3700901011350153,0.00027620322402858197
-2.2891339012662364,0.0002771010902243916
-2.22068315244254,0.0002771017388975511
-2.272843937635849,0.0002767731334377758
-2.2677430401633023,0.0002767079312832833
-2.33421926107186,0.00027692259514144554
-2.271363031906764,0.00027701378869983266
-2.281893917292006,0.0002771708330852867
-2.3072338621789816,0.0002779616916842345
-2.292260258051194,0.0002787360875763955
-2.209658634599501,0.0002784980270070732
