MRinf,MRsup,T,t
0.00022922179848992595,0.0002260438969970817,-47.95917652803865,1699893431.7736971
0.00022811454380113728,0.00022628989257565498,-47.70767798025581,1699893432.3088913
0.00022863886607655826,0.00022468767004278663,-47.48642042424979,1699893432.8342116
0.00022658735952096185,0.00022449951086653776,-47.226604377506376,1699893433.3788688
0.00022672484681085089,0.0002243189867314116,-46.97237427347796,1699893433.912962
0.0002264228644053824,0.00022352785309412383,-46.702380318199694,1699893434.4477248
0.00022546454257966502,0.00022266475654045807,-46.46336588370129,1699893434.9808476
0.00022454976197117143,0.00022254422861342336,-46.159644696002786,1699893435.5152247
0.00022433742260467225,0.0002210351441362983,-45.908051895215024,1699893436.049761
0.00022386966017333255,0.00022125611497894075,-45.6919530903162,1699893436.5824215
0.0002226669661640133,0.00022041549278959565,-45.45596841207757,1699893437.105616
0.00022286047624616654,0.00022011017080240253,-45.21378240071115,1699893437.6557763
0.00022156466007615863,0.00021841392834736712,-44.92491918193572,1699893438.1870496
0.0002205682360970409,0.00021814126013651464,-44.70488357841524,1699893438.733422
0.00022088666008524097,0.00021716063285893186,-44.453634753782886,1699893439.2586353
0.0002204113528860495,0.0002169687375457604,-44.21763987962356,1699893439.8102076
0.0002198093085937521,0.00021609918827119348,-43.966219944922855,1699893440.3416643
0.00021788288456100246,0.00021647356620828066,-43.75025922967011,1699893440.8652167
0.00021769384954542986,0.0002158498514572124,-43.49552412664611,1699893441.4085212
0.0002170203031860132,0.00021488335240836038,-43.24367322743483,1699893441.943918
0.0002167020588622327,0.00021423462396753362,-42.99153365103599,1699893442.485773
0.00021613913095838334,0.0002131301033640912,-42.78009842920134,1699893443.0196424
0.00021547656058884833,0.0002130470795632498,-42.500733802536885,1699893443.5549564
0.00021511824845685192,0.00021119784836070004,-42.279022805454076,1699893444.0886438
0.0002143349952288994,0.0002109671467807732,-42.04914143076725,1699893444.6219542
0.0002132214820589584,0.00021090928082105804,-41.82141391124279,1699893445.1561866
0.00021291517996784707,0.00021059861930994512,-41.5975372332521,1699893445.6912677
0.00021151928838903357,0.00020949136434896616,-41.37245599830787,1699893446.2259963
0.0002112759555101003,0.00020910842351515099,-41.12213085645314,1699893446.761385
0.0002104305131413426,0.00020821330017527494,-40.915873642819065,1699893447.2954683
0.00020959411365217487,0.00020706289555691898,-40.7054978154918,1699893447.8275473
0.00020935152440195188,0.00020652080668340862,-40.42959142992771,1699893448.3603258
0.00020829957713386325,0.00020568749133534364,-40.20327272321594,1699893448.894788
0.00020817444565681634,0.00020658007145912542,-39.96600389689199,1699893449.429484
0.0002079971869111225,0.00020479980586100575,-39.7477767450414,1699893449.9624069
0.00020713491172064488,0.0002039699805560531,-39.5267546124568,1699893450.5071266
0.000207006426643773,0.0002030466612123022,-39.33642412392378,1699893451.040842
0.00020558072822975853,0.00020243075970741408,-39.104997399334756,1699893451.5862975
0.0002052234721955073,0.0002017236016438587,-38.85526791884653,1699893452.1307075
0.00020360345249964443,0.00020083117155372975,-38.64132848390673,1699893452.6660128
0.00020256528670423336,0.00020212853363793618,-38.39924035474967,1699893453.209551
0.00020305949763806287,0.0002000633390663131,-38.18622484126667,1699893453.7407944
0.00020193713614048025,0.00019944349921660183,-37.97927772026532,1699893454.2725196
0.00020173151808698845,0.00019974009318145304,-37.784926886084435,1699893454.813959
0.00020180056845400845,0.00019892409063884892,-37.567997612071714,1699893455.347009
0.00019992529076523938,0.00019845640494748116,-37.36337574605679,1699893455.8711345
0.00019992045289089354,0.00019659834496248106,-37.11729240374741,1699893456.4053369
0.00019880966090735503,0.0001957874516963498,-36.92344299856604,1699893456.9386082
0.00019841570007449473,0.00019594113264432945,-36.730217987643265,1699893457.4808588
0.00019714539607936302,0.00019468202597872376,-36.476078247672554,1699893458.0054705
0.0001965063343088047,0.00019421477256249364,-36.243650381160805,1699893458.549882
0.00019618614713813484,0.0001938326504819006,-36.053758340222544,1699893459.0826373
0.00019541091303543562,0.0001931245628153299,-35.83781496873721,1699893459.607111
0.0001942228092574785,0.00019182362700572776,-35.625383773634056,1699893460.1522539
0.00019319168241210756,0.00019060171927005385,-35.43978778011147,1699893460.6865177
0.00019246574754099176,0.0001901336428282881,-35.25563040737651,1699893461.2174597
0.00019213750281074383,0.00019032038659509367,-35.01090123885266,1699893461.7484403
0.0001921157085987187,0.00018840425154555398,-34.802651726604424,1699893462.2814949
0.00019118574639312487,0.00018840840951366513,-34.65348593429035,1699893462.811378
0.0001900068927367165,0.00018902034091807996,-34.40689723951528,1699893463.3429048
0.00018914264289386995,0.00018768751823121293,-34.20141551822231,1699893463.885193
0.00018880948377801433,0.0001858104788714387,-34.05014562554529,1699893464.4204946
0.00018797629183369934,0.00018594196002470845,-33.819955426448175,1699893464.9547806
0.00018808918399789207,0.00018503143910221113,-33.62228176246232,1699893465.4874356
0.0001871134105287273,0.00018389232563189738,-33.37295016832302,1699893466.0226097
0.00018649346324284884,0.00018380443148018205,-33.22054397688745,1699893466.5567906
0.00018512796778903984,0.0001830998042591553,-33.0127702549381,1699893467.091869
0.0001851055564433953,0.00018175690211413224,-32.79742827127369,1699893467.625931
0.00018337363171929053,0.00018198735535403373,-32.60242846011792,1699893468.1614537
0.00018347596758371186,0.00018040165645041053,-32.41063340528907,1699893468.6967292
0.000182119962761281,0.00017962345563902533,-32.19788120564987,1699893469.2311335
0.00018134915658874298,0.0001789266394906174,-32.01837483676231,1699893469.765056
0.00018054479984110569,0.00017836477882183951,-31.794470497474524,1699893470.2990813
