MRinf,MRsup,T,t
0.0002151472368843289,0.00021460643691768982,-46.748233313350674,1699894027.8336928
0.00021431702288624067,0.00021144982297993052,-46.2588513260766,1699894028.274084
0.00021320438768478137,0.00021239195011151863,-45.84618654746054,1699894028.7103078
0.0002116304429564746,0.0002112807834989753,-45.42121456284597,1699894029.1504276
0.0002121559880514276,0.000214865825926306,-45.08483291262369,1699894029.5914123
0.00021101190646365475,0.00020868041947679302,-44.6359653984248,1699894030.0355952
0.00020890228090266285,0.00020783615088170072,-44.267582243585565,1699894030.46808
0.0002093123643411353,0.0002054198815635217,-43.87937851440679,1699894030.908944
0.00020797693350408595,0.0002064254320154033,-43.50830560335322,1699894031.3392704
0.0002080122127685508,0.0002087983835826912,-43.133395421896516,1699894031.7722044
0.00020443259371390852,0.0002039932351716569,-42.78458245123022,1699894032.215236
0.00020547784472312844,0.0002025659680201105,-42.462927519678324,1699894032.6376262
0.0002033619028815132,0.00020272844876186675,-42.09686172224196,1699894033.0814478
0.0002033516341702474,0.0002007813420358923,-41.7847863348295,1699894033.5239143
0.00020186069264227272,0.0001989669202611496,-41.431218482703535,1699894033.967036
0.00020136364382616277,0.00019802966697043205,-40.99560533430357,1699894034.4002612
0.0001993138108754335,0.00019637473396884845,-40.65637380719221,1699894034.8439841
0.0002014193500232063,0.0001967561029968154,-40.281597242601,1699894035.2667735
0.00019654969786608156,0.00019582894633846196,-39.977624162754175,1699894035.7100232
0.0001961665202130967,0.00019281178782716685,-39.6131236116953,1699894036.1433198
0.00019605354999591623,0.00019237135143879356,-39.26599542411872,1699894036.5765705
0.000193107327437145,0.0001923072746574662,-38.9722431928267,1699894037.0095553
0.00019267289193766407,0.00019055407932703868,-38.50488268467556,1699894037.4429157
0.00019101358702966158,0.00018975398181958215,-38.228364882504884,1699894037.8826704
0.00019064714565081393,0.00018869394038835473,-37.86752984929023,1699894038.3189828
0.00019143473199956435,0.00018697058195871647,-37.60170755427039,1699894038.7427921
0.00018732355906560775,0.00018627667110918464,-37.25958007289728,1699894039.1858647
0.00018566400898830494,0.0001838902189531775,-36.977139536082916,1699894039.6182065
0.0001847882039663203,0.0001839465803524447,-36.62577769763167,1699894040.051372
0.00018374837434964833,0.00018175266485720497,-36.27669587596466,1699894040.4954147
0.000182715973410364,0.00018174303092291405,-35.88594471667675,1699894040.9378781
0.0001810008052988961,0.0001804588158919031,-35.530427879659705,1699894041.3694072
0.0001802462069491793,0.0001784086646428481,-35.22342272278166,1699894041.8007
0.0001790926142010998,0.0001762159532608729,-34.89054931805259,1699894042.2439744
0.00017726356814538402,0.00017651557690393844,-34.52660792430047,1699894042.6969783
0.0001757471572763145,0.0001734553207173983,-34.218485998637014,1699894043.120394
0.0001757494029765328,0.00017332860544330418,-33.93079963405304,1699894043.5739677
0.00017391946075727253,0.00017232628069193082,-33.611704531851444,1699894044.0053713
0.00017264193694320137,0.00016999848255741642,-33.33526282763844,1699894044.4360607
0.00017144452367432746,0.0001688648616803778,-33.02586778561717,1699894044.8788867
0.00016891373967692862,0.00016741341027530512,-32.68136757019885,1699894045.3114483
0.00016642618964912584,0.00016557311699783576,-32.36916159849439,1699894045.7451446
0.0001652305451187051,0.0001640098503943315,-32.0306812930779,1699894046.1887805
0.00016499897484270124,0.0001634008850614735,-31.69081011268588,1699894046.631877
0.00016290457424682645,0.00016216696552031655,-31.39707079520764,1699894047.074835
0.0001612892527762736,0.00015924350269843216,-31.089049526725024,1699894047.5009298
0.00016019267739709878,0.00015774443153435081,-30.758773881980616,1699894047.9313731
0.00015766417418285132,0.00015621986279797334,-30.463281555746182,1699894048.3628542
0.0001569442554730731,0.00015524732274926016,-30.183736513306762,1699894048.8037415
0.0001551049180758857,0.00015300279637220777,-29.8708097058438,1699894049.234991
0.00015289210586551372,0.00015183533101310276,-29.57320981548535,1699894049.658703
0.00015214111503264563,0.00015042337735259438,-29.228373034028483,1699894050.0917194
0.00015713062962481868,0.00014991062916873166,-28.98504234932375,1699894050.5357244
0.00014848579856824355,0.0001478069048121944,-28.65555361112629,1699894050.966623
0.00014737805231953183,0.00014583618984413818,-28.322980449089982,1699894051.4073129
0.00014584368188999452,0.00014404469702337168,-28.022203737146445,1699894051.828571
0.000145670549287865,0.0001426745244678201,-27.81305181658859,1699894052.2628143
0.00014104739296015201,0.00014061341489803936,-27.537437714642625,1699894052.7101426
0.0001405482060997687,0.00013836291795172332,-27.18897787398887,1699894053.1528502
0.00013794485307600047,0.00013622322381662283,-26.907310522262517,1699894053.5960608
0.00013707393925128518,0.0001359344308674777,-26.67670552020109,1699894054.029252
0.00013399234353270704,0.0001339988024815115,-26.400735374291912,1699894054.46342
0.0001323754543622927,0.00013242149028198826,-26.12637077842616,1699894054.8961997
0.00013086078688478092,0.00013026964844749519,-25.855924702703557,1699894055.3292468
0.00012908063738768287,0.00012807805128657362,-25.618185544454718,1699894055.781939
0.00012719120585090788,0.00012652201479331952,-25.32095523702917,1699894056.2061243
0.00012473419524398771,0.00012339933506801446,-25.090222335353072,1699894056.6580935
0.00012285022965416694,0.00012213743018960318,-24.80736541425387,1699894057.0911365
0.0001209483723175512,0.00011968722551343922,-24.55160148954449,1699894057.5451088
0.00011893273654007541,0.00011736717068865904,-24.269235291491793,1699894057.9885921
0.00011701521346370474,0.00011622892864468848,-24.019268623262043,1699894058.4214652
0.00011474512664591172,0.00011475781211600202,-23.831499619577066,1699894058.8741407
0.000113447652286007,0.00011108454869958855,-23.485589189413705,1699894059.3080297
0.00011045574247418966,0.00010934322414768441,-23.260645132780542,1699894059.7426474
0.00010809809421811448,0.0001077079352269656,-22.973016154789118,1699894060.1856956
0.00010645877271409215,0.00010507288464701382,-22.75227696056485,1699894060.6074216
0.00010349461595966509,0.00010292097371273671,-22.449579499297595,1699894061.0381348
0.0001018949683722411,0.00010025444390254305,-22.194499711891584,1699894061.4716465
9.867372268429122e-05,9.884760858336407e-05,-21.947644007434953,1699894061.915554
9.619092978028893e-05,9.554968967343802e-05,-21.67948957475602,1699894062.3591223
9.435191318916563e-05,9.404467557417337e-05,-21.443563784850884,1699894062.7925262
9.130597857520779e-05,9.075108132375303e-05,-21.11293861161516,1699894063.232223
8.921827851212029e-05,8.890942540984346e-05,-20.910777302615955,1699894063.6702063
8.655884437937186e-05,8.636857144994732e-05,-20.704186734224102,1699894064.104009
8.534797436016918e-05,8.449550110807468e-05,-20.481737129148176,1699894064.5347571
8.279192988177283e-05,8.165698904366296e-05,-20.219081334083935,1699894064.9719002
7.888309888459083e-05,7.867841043932082e-05,-19.946125996918383,1699894065.394446
7.956807707102606e-05,7.683129549658264e-05,-19.771357067781416,1699894065.839949
7.410934975546795e-05,7.393507024268972e-05,-19.467872104030675,1699894066.2836192
7.175209232178086e-05,7.162867000763788e-05,-19.25888596382169,1699894066.7073228
6.903011692442757e-05,6.899971118121187e-05,-19.013800826467012,1699894067.1416543
6.634973769367203e-05,6.641603053896324e-05,-18.792792155042246,1699894067.5956972
6.416386536316408e-05,6.38864915456086e-05,-18.620578985718325,1699894068.028742
6.207346842174303e-05,6.150567620270918e-05,-18.315262547157143,1699894068.4514744
5.833036175698262e-05,5.850872628046364e-05,-18.11021597889588,1699894068.8927653
5.63482325996354e-05,5.57365469151433e-05,-17.86386199329692,1699894069.313873
5.389516441389208e-05,5.327204777367646e-05,-17.59739322005907,1699894069.766882
5.1636140333732744e-05,5.200146988634867e-05,-17.39475853059095,1699894070.2029784
4.908246565950593e-05,4.9248741593374234e-05,-17.171685925281377,1699894070.6463428
4.6696207977193845e-05,4.73095460607202e-05,-16.94293824770699,1699894071.0899282
4.4604248419637124e-05,4.4526646530614615e-05,-16.6863340737249,1699894071.5237377
4.334374846783636e-05,4.4311809458019374e-05,-16.475466339399407,1699894071.9574475
4.124629633066977e-05,4.1408147181071964e-05,-16.281065973736542,1699894072.3988137
3.9080527760457656e-05,3.861154069688442e-05,-16.07729053181279,1699894072.8202
3.721451484757569e-05,3.7168363422692765e-05,-15.88582594353371,1699894073.2602923
3.562745945800959e-05,3.557247017972115e-05,-15.626469405087029,1699894073.7017438
3.4158954438355105e-05,3.445595530733142e-05,-15.45741122715285,1699894074.140389
3.2265303950824664e-05,3.257427251623434e-05,-15.230623787055132,1699894074.5831773
3.112192818470949e-05,3.188035744177967e-05,-15.029364099071671,1699894075.0042245
3.089959511871068e-05,3.0014636988372315e-05,-14.788785982417275,1699894075.4543433
2.8619452070803194e-05,2.8198365839243793e-05,-14.60462702036959,1699894075.8984942
2.6969869401610503e-05,2.68748615255282e-05,-14.441664030322686,1699894076.3405085
2.6149558093773306e-05,2.6016177959512306e-05,-14.233740409799529,1699894076.7755892
2.4897198399638145e-05,2.5053245704443484e-05,-14.015504848809336,1699894077.2083569
2.4226990916689897e-05,2.4169497721136304e-05,-13.838178138565635,1699894077.650122
2.3287763384052836e-05,2.321466128200282e-05,-13.63321887236422,1699894078.0782273
2.2808493416500108e-05,2.232473327420071e-05,-13.405644117760007,1699894078.511166
2.1264236347255472e-05,2.1471177545200755e-05,-13.236943465103806,1699894078.9418004
2.119192110512997e-05,2.0889787567112562e-05,-13.069295293492425,1699894079.392565
2.0076443526869056e-05,2.0199068138213497e-05,-12.903752404297345,1699894079.8342118
2.012059290280667e-05,1.993860761851982e-05,-12.664944988134717,1699894080.2637515
1.8721864947688186e-05,1.8890572884123546e-05,-12.52688938295831,1699894080.6953967
1.8469107091733683e-05,1.8453925521515822e-05,-12.261063942497923,1699894081.1465583
1.8716402145125904e-05,1.7884179579820737e-05,-12.130837382277987,1699894081.5677
1.7635039594078687e-05,1.7408407869536255e-05,-11.944222009027802,1699894082.00891
1.723622748483036e-05,1.699719749491849e-05,-11.75548595816599,1699894082.439947
1.670535663793491e-05,1.671535423025941e-05,-11.577170777059603,1699894082.8702185
1.6115937220079665e-05,1.5974186088107543e-05,-11.376816347369923,1699894083.3098156
1.639912612104507e-05,1.6203584893742692e-05,-11.187036583297566,1699894083.7527933
1.560229798092079e-05,1.5773961361978627e-05,-10.970715815966535,1699894084.196609
1.542502572991832e-05,1.5687892374299256e-05,-10.790107067320765,1699894084.6309843
1.4513988405501737e-05,1.4744531144110034e-05,-10.61662959464928,1699894085.0751889
1.4539048758752655e-05,1.431490843179044e-05,-10.43281506260413,1699894085.5065532
1.4609227898469707e-05,1.4454327389648588e-05,-10.276278447306982,1699894085.9494376
1.4066802676956976e-05,1.4014943698060046e-05,-10.087572001089276,1699894086.3776832
