MRinf,MRsup,T,t
0.00020500273447862085,0.00020305510817950314,-51.23018497036536,1699890190.1350996
0.00020437010313414388,0.0002016672455204438,-50.86440157900308,1699890190.6872118
0.0002039252329228397,0.00020244571550795783,-50.470526519224165,1699890191.2200851
0.00020248593284549017,0.00020082672725896467,-50.04450877163329,1699890191.7735145
0.00020190494023172045,0.00020072293431484754,-49.697743775607435,1699890192.3071458
0.00020201810807023997,0.00019975284080149224,-49.27140016384813,1699890192.8398738
0.00020104265851996587,0.00019928183363870214,-48.87122540320115,1699890193.361595
0.00020002839210939987,0.00019819566433724426,-48.5100017143207,1699890193.9054694
0.0002001660819186877,0.0001978111425039064,-48.13034770232565,1699890194.4421952
0.00019982519451449695,0.00019761227884551924,-47.74206062453512,1699890194.970561
0.00019855687235311603,0.00019701593979641645,-47.381127136381664,1699890195.5048525
0.00019858721794645314,0.00019595959828076626,-47.045173643384935,1699890196.043871
0.00019782735221049878,0.00019418492784240525,-46.620556349058795,1699890196.5738356
0.00019704783878284225,0.00019329419982098723,-46.255407094837196,1699890197.1166966
0.00019548878831651255,0.00019369886648747207,-45.85474930560141,1699890197.6480236
0.0001964191219914993,0.00019326452316948257,-45.48261194952157,1699890198.1928685
0.0001936558997744956,0.00019217575399904055,-45.12202561245804,1699890198.7281315
0.00019355526568966635,0.00019175384066663848,-44.76378447147677,1699890199.2720623
0.00019397484829931794,0.00019061965494093054,-44.47018608954407,1699890199.8049645
0.0001925912404409732,0.0001902963006560585,-44.078937589755306,1699890200.3282714
0.0001922340390659514,0.000189239321937028,-43.702370933949005,1699890200.8628323
0.0001917326185775671,0.00018859292894750097,-43.34802953671635,1699890201.4041524
0.00019042425212131814,0.0001885955022687117,-43.0068667060306,1699890201.9251995
0.00019048030353098174,0.0001878995221445088,-42.67454234904289,1699890202.4574995
0.00018978924516672242,0.0001876588548808067,-42.30444877350479,1699890202.9898129
0.0001871252338188939,0.00018593752468048125,-41.97313305878777,1699890203.523215
0.00018798271237144135,0.00018534744505188956,-41.64171745776159,1699890204.0592637
0.00018691279347364396,0.00018433094771076053,-41.30973105791074,1699890204.5994778
0.0001867735624347709,0.0001835263766226784,-40.98282981834854,1699890205.1318371
0.00018571971198447443,0.00018383589048376114,-40.614929491065396,1699890205.672551
0.00018488548996451382,0.0001820567883233655,-40.266729457156416,1699890206.193803
0.00018408069362838274,0.00018187013367434093,-39.9365802604229,1699890206.724843
0.00018347400257548923,0.00018118442723645686,-39.63477125661378,1699890207.2659383
0.00018322998347134736,0.0001804700814622717,-39.286494872215634,1699890207.8084857
0.00018213789738195878,0.0001795284757666157,-38.96548687947714,1699890208.3319519
0.00018193340450673655,0.00017888238264986684,-38.62813744034025,1699890208.8758962
0.00018043953592469325,0.0001782697518458352,-38.289841330094276,1699890209.4105613
0.00017997683388462993,0.00017765997993373023,-37.98814478490669,1699890209.9333932
0.00017889486941474587,0.00017612238231945994,-37.67177459838676,1699890210.4712834
0.00017832580161920476,0.00017550427780491838,-37.35381825793178,1699890211.009947
0.00017738672278751042,0.0001747269899368638,-37.04534836565462,1699890211.5540185
0.00017627069872975455,0.00017439426097783057,-36.721609609923874,1699890212.0848107
